V1,V8,V9,condition,desc,support,query_1,query_2,query_3,query_4,query_5,query_1_quant,query_2_quant,query_3_quant,query_4_quant,query_5_quant,word_homeless,word_welfare,word_needy,word_lazy,word_filler2,word_filler5,word_filler6,word_charity,word_poor,word_filler12,word_burden,word_aid,word_filler11,word_deserve,stigmaO_1,stigmaO_2,stigmaO_3,stigmaO_4,stigmaO_5,attncheck,age,gender,income,edu,race,polit,polit_1,polit_2 
R_2410je5rEXbu6e0,6/20/17 10:31,6/20/17 10:48,freedom,financial freedom,6,Gives back to the citizens.,Could potentially cut down on poverty.,"Has the potential to create dependency on this money, making some people lazy.",Is it fair that someone who doesn't pay taxes gets some of this money? I'm not so sure it is.,This policy might force the government to stop wasting money by handing it out to foreign countries.,1,1,2,2,1,homebase,welders,needy,lazy,plaid,sun,bake,charity,door,PHOTO,BURNED,AID,SONG,DESERVE,6,5,5,5,6,2,46,Male,"$85,000 to $99,999",Some college (no degree),White,Independent,Slightly conservative,Slightly       liberal
R_129yUWCN7WjNj7W,6/20/17 10:29,6/20/17 10:48,freedom,financial freedom,4,misuse of the system,will there be certain things the money can be used for?,"If not abused, then system could work.",,,2,2,1,,,HOMELESS,WELCOME,NEEDY,LAZY,PLANE,SUN,BAKE,CHARITY,DOOR,PHOTO,BURNED,AND,SING,RESERVE,1,7,7,5,5,2,31,Female,"$30,000 to $34,999",4-year college degree,White,Independent,In the middle,Slightly conservative
R_2dmS4p9VBtjBH5V,6/20/17 10:42,6/20/17 10:48,control,basic income,4,happiness,passion,policy,friendship,trust,1,1,1,1,1,homeless,welcome,needy,lazy,plaza,sup,bake,chariza,door,phone,burner,add,sing,deserve,4,3,5,5,4,2,29,Male,"$30,000 to $34,999",4-year college degree,White,Independent,Slightly       liberal,In the middle
R_33Eh8FwBBznxqLJ,6/20/17 10:32,6/20/17 10:48,control,basic income,5,People could take advantage of it,People deserve healthcare and housing,could raise taxes significantly ,people should not have to suffer,,2,1,2,1,,HOMETOWN,WELCOME,NEEDY,LAZY,PLAIN,SUM,BAKE,CHARLIE,MOOR,PHONE,BURGER,AID,SONG,RESERVE,5,5,5,6,6,2,30,Male,"$60,000 to $74,999",2-year college degree,White,Democrat,Moderately liberal,In the middle
R_1pQAE1MjAM76AMh,6/20/17 10:31,6/20/17 10:48,security,social security for all,2,People get what they deserve.,"I don't want to support anyone I consider ""otherly.""",Lazy people deserve to suffer.,,,2,2,2,,,HOMEWORK,WELCOME,NEEDY,LAZY,PLAID,SUE,BAKE,CHARITY,DOOR,PHONE,BURDEN,AID,SONG,DESERVE,4,4,6,4,6,2,29,Male,"$75,000 to $84,999",4-year college degree,Asian,Independent,In the middle,In the middle
R_u95e7noDMEVVrzz,6/20/17 10:30,6/20/17 10:48,security,social security for all,6,lack of jobs[persistence ,social stabilization,cost of joblessness already,creates some freedom for experimentation,cost of living may just rise in response/inflation,1,1,1,1,2,hometown,welfare,needy,lazy,place,sun,bike,charter,door,PHOTO,BURROW,ADD,SING,RESERVE,6,4,4,7,5,2,60,Male,"$5,001-$6,999",4-year college degree,White,Independent,Strongly liberal,Moderately liberal
R_VJyVpQ16OpH8VaN,6/20/17 10:42,6/20/17 10:48,freedom,financial freedom,5,cost,,,,,2,,,,,HOMEMADE,WELFATE,NEEDY,LAZY,PLACE,SUE,BAKE,CHARLIE,DOOR,PHOTO,BURMAS,AID,SONG,DESERVE,2,6,5,4,6,4,32,Female,"$20,000 to $24,999",4-year college degree,White,Independent,Slightly conservative,Slightly conservative
R_2TMOLVzD9ARBu1J,6/20/17 10:32,6/20/17 10:48,control,basic income,7,Monthly Income For All Citizens,Comes From Oil And Taxes,Income Equality In A Sense,People Who Have Jobs Will Receive This Which Is Unfair,,1,1,1,2,,HOMEBODY,WELCOME,NEEDY,COZY,PLATE,SUD,BAKE,CHARITY,DOOR,PHONE,BURGER,AND,SING,DESERVE,5,4,5,6,6,2,22,Male,"$30,000 to $34,999",High school degree,White,Independent,In the middle,In the middle
R_sIpPYzsG79TTDqh,6/20/17 10:30,6/20/17 10:48,control,basic income,7,Support for low income families ,Help stabilize poverty ,Misuse of funds,,,1,1,2,,,HOMELESS,WELCOME,NEEDY,LAZY,PLAIN,SUN,BAKE,CHARITY,DOOR,PHOTO,BURNED,AND,SONG,DESERVE,7,5,1,7,5,2,30,Female,"$85,000 to $99,999",Some college (no degree),Other,Democrat,Strongly liberal,Strongly liberal
R_3qP3Ciq5gAL2V7E,6/20/17 10:31,6/20/17 10:48,control,basic income,1,This proposal would kill individual initiative.,Proposal would stop people from obtaining higher eduation.,People would have no need to start new business.,End result would be the collapse of our enonomic system.,It is also not fair to people who work harder.,2,2,2,2,2,HOMEWORK,WELCOME,NERDY,LAZY,PLATE,SUM,BAKE,CHARTER,DOOR,PHOTO,BURNED,AID,SING,RESERVE,2,6,7,3,6,2,66,Male,"$25,000 to $29,999",Some college (no degree),White,Independent,Moderately conservative,Moderately conservative
R_3dY80U4etCSQ2cQ,6/20/17 10:29,6/20/17 10:48,freedom,financial freedom,4,dependency on the government,it would help people with bills,it would depend on what it would cost people for this money,,,1,1,2,,,homework,welcome,needy,lazy,place,sue,bike,charity,door,photo,,and,song,deserve,3,6,7,5,7,2,45,Female,"$60,000 to $74,999",High school degree,White,Republican,Moderately conservative,Moderately conservative
R_3jTe7RWoOpU27x6,6/20/17 10:31,6/20/17 10:48,freedom,financial freedom,7,the people know best,we provide the tax revenue,we have the right to choose things that are in our best interest,,,1,1,1,,,HOMESICK,WELCOME,NEEDY,LAZY,PLACE,SUM,BIKE,CHARTER,POOR,PHOTO,BURNED,AND,SONG,RESERVE,7,4,5,7,5,2,28,Male,"$75,000 to $84,999",4-year college degree,Hispanic,Independent,In the middle,In the middle
R_3HqopNKnlPB7g1Q,6/20/17 10:30,6/20/17 10:48,control,basic income,7,Too many people living in poverty,Homeless population is extremely high and growing,Current welfare programs are abused,USA spends too much money helping other countries before helping their own citizens,Crime rates would drop,1,1,1,1,1,HOMEWORK,WELCOME,NEEDY,HAZY,PLANE,SUN,BIKE,CHARRED,DOOR,PHOTO,BURIED,ADD,SING,RESERVE,7,2,1,7,5,2,28,Male,"$35,000 to $39,999",2-year college degree,White,Independent,Moderately liberal,Slightly       liberal
R_sjSJtxWNx5B5of7,6/20/17 10:31,6/20/17 10:48,security,social security for all,7,care for everyone,equality,no homeless,must be citizens,we take too much care of other countries,1,1,1,1,1,HOMELESS,WELCOME,NEEDY,LAZY,PLACE,SUN,BAKE,CHARGES,POOR,PHONE,BURDEN,ADD,SING,DESERVE,6,5,3,6,6,2,46,Female,"$60,000 to $74,999",Some college (no degree),White,Independent,Moderately liberal,Moderately liberal
R_BV6vv1xku5twx0t,6/20/17 10:39,6/20/17 10:48,freedom,financial freedom,7,Money goes where it needs to go,People who have paid taxes get some back,Citizens benefit with more money,More money to citizens means a greater economy,People will have their basic needs met.,1,1,1,1,1,HOMELAND,WELCOME,NEEDY,LAZY,PLACE,SUN,BAKE,CHARITY,POOR,PHONE,BURIED,AND,SING,RESERVE,7,1,4,7,7,2,37,Female,"$40,000 to $49,999",High school degree,White,Republican,Slightly conservative,Moderately conservative
R_3fOyB0suCls5R0E,6/20/17 10:39,6/20/17 10:48,security,social security for all,7,taking care of others is the right thing to do,provides safety net,addresses human dignity,takes care of our children,increases value of citizenship,1,1,1,1,1,homeless,welfare,needy,lazy,place,sub,bake,charmed,door,phone,buried,add,sing,deserve,6,2,1,7,6,2,52,Female,"$175,000 or more",Masters level degree (for example M.S. or M.A.),White,Democrat,Moderately liberal,Slightly       liberal
R_1hzPicC6KWEiUOD,6/20/17 10:38,6/20/17 10:48,freedom,financial freedom,7,Supports financial freedom,Increases buying power,Helps the unemployed,,,1,1,1,,,HOMEMADE,WELCOME,NERDY,LAZY,PLACE,SUB,BAKE,CHARADE,DOOR,PHOTO,BURGER,AND,SONG,RESERVE,7,1,1,7,1,2,24,Male,"$35,000 to $39,999",2-year college degree,White,Independent,Strongly liberal,Strongly liberal
R_1EgiG1gWeVCqg9L,6/20/17 10:29,6/20/17 10:49,security,social security for all,5,helpful to people who are struggling,lower crime rates,everyone is treated fairly,basic needs are met ,could be costly,1,1,1,1,2,HOMELESS,WELCOME,NEEDY,LAZY,PLAIN,SUM,BIKE,CHARTER,DOOR,PHOTO,BURDEN,AID,SING,DESERVE,6,5,5,6,5,2,55,Female,"$20,000 to $24,999",2-year college degree,White,Democrat,In the middle,In the middle
R_Zaadg32TPUWNW8x,6/20/17 10:34,6/20/17 10:49,freedom,financial freedom,7,People would no longer go hungry,No more homeless,Health costs covered,Welfare gone,Food stamps gone,1,1,1,1,1,HOMELESS,WELDING,NEEDY,LAZY,PLAZA,SUN,BIKE,CHARMAN,DOOR,PHONE,BURDEN,AID,SING,DESERVE,6,2,2,7,7,2,25,Female,"$30,000 to $34,999",Some college (no degree),White,Independent,Strongly liberal,Strongly liberal
R_Apw4aDNA0CVkjMR,6/20/17 10:36,6/20/17 10:49,security,social security for all,7,People can be free to discover their true passions in life.,People will abuse the system and use the money for drugs instead of food.,People will no longer go hungry.,People will no longer need to find a shelter.,,1,2,1,1,,HOMELESS,WELCOME,NEEDY,LAZY,PLACE,SUN,BIKE,CHARMER,DOOR,PHOTO,BURROW,AND,SING,DESERVE,6,2,2,7,7,2,25,Male,"$30,000 to $34,999",4-year college degree,White,Democrat,Strongly liberal,Moderately liberal
R_2X7jAPWw41kcZ5v,6/20/17 10:37,6/20/17 10:49,control,basic income,2,I just don't think it will work,,,,,1,,,,,homecook,welcome,needy,lazy,place,sub,bake,charity,door,phone,buried,and,song,upserve,1,7,7,6,7,2,43,Female,"$40,000 to $49,999",2-year college degree,Hispanic,Democrat,Moderately liberal,Moderately liberal
R_vGfLDzFmnwqMQ6J,6/20/17 10:29,6/20/17 10:49,security,social security for all,5,More time spent with family/friends.,"Most, if not all citizens have the bare minimum.",Working while having social security allows person to earn more over time.,Will take decades to implement.,Higher taxes is a negative.,1,1,1,1,2,homemade,welcome,needy,lazy,place,sun,bake,chariot,door,phone,buried,add,song,reserve,4,6,5,2,5,1,28,Male,"$40,000 to $49,999",4-year college degree,Asian,Democrat,Moderately liberal,Moderately liberal
R_2CZXZ3uXz0DCnMO,6/20/17 10:31,6/20/17 10:49,control,basic income,7,Helps everyone,Addresses inequality,Where does the money come from?,,,1,1,2,,,HOMERUNS,WELCOME,NEEDY,LAZY,PLANC,SUN,BAKE,CHARITY,DOOR,PHOTO,BURGER,ADD,SING,OBSERVE,6,1,1,7,2,2,31,Male,"$50,000 to $59,999",4-year college degree,White,Democrat,Strongly liberal,Moderately liberal
R_2Vf1N49BZ9mZK0g,6/20/17 10:42,6/20/17 10:49,control,basic income,7,Helps people,Prevents disaster,Seems inevitable,,,1,1,1,,,HOMESICK,WELCOME,NEEDY,LAZY,PLAZA,SUN,BAKA,CHARRED,BOAR,PHOTO,BURNED,AND,SONG,OBSERVE,3,6,5,6,6,2,27,Male,"$7,500 to $9,999",4-year college degree,White,Independent,Slightly       liberal,Slightly conservative
R_24IDND3RFmK2KUi,6/20/17 10:38,6/20/17 10:49,security,social security for all,6,Happy,Secure,Proud,Support,Useful,1,1,1,1,1,HOMEWORK,WELCOME,NODDY,LAZY,PLACE,SUE,BAKE,CHARIOT,DOOR,PHOTO,BURGER,AID,SONG,DESERVE,6,5,5,5,6,2,35,Male,"$60,000 to $74,999",4-year college degree,Asian,Independent,In the middle,In the middle
R_XSBfr7qZLs33FEB,6/20/17 10:31,6/20/17 10:49,control,basic income,6,equality,helpful,creative,necessary,considerate,1,1,1,1,1,homecare,welcome,nerdy,lazy,plane,sue,bike,charmer,door,PHONE,BURGER,ADD,SING,RESERVE,6,5,4,6,4,2,24,Female,"$20,000 to $24,999",Some college (no degree),Black,Independent,Moderately liberal,In the middle
R_r0J1zUjuGkNXL1v,6/20/17 10:30,6/20/17 10:49,security,social security for all,2,taking from people who work and giving to those who do not,lack of true motivation to work,,,,2,2,,,,HOMEWARD,WELCOME,NERDY,COZY,PLACE,SUE,BAKE,CHARLIE,DOOR,PHONE,BURLAP,ADD,SONG,RESERVE,4,6,6,5,7,1,23,Female,"$12,500 to $14,999",2-year college degree,Hispanic,Republican,In the middle,In the middle
R_3lzeKWmoDnz1AvF,6/20/17 10:30,6/20/17 10:49,control,basic income,7,Covering basic needs of my fellow humans is amazing!,"I would think, hunger would be done away with.",I would think poverty/homelessness would be done away with.,"Taxes would go up, a semi negative.","Money might be spent on drugs, drugs are so rampant right now.",1,1,1,2,2,HOMELESS,WELLNES,NEEDY,LAZY,PLACE,SUN,BAKE,CHARCOL,POOR,PHONE,BURDEN,AID,SING,PRESERV,6,2,1,7,5,2,44,Female,"$60,000 to $74,999",2-year college degree,White,Democrat,Strongly liberal,Moderately liberal
R_2zYh5IKQDR5Pm3n,6/20/17 10:29,6/20/17 10:49,security,social security for all,3,Too costly,No incentive to get a job,No one would go without,Social security is already going broke,Just not doable.,2,2,1,2,2,HOMELAND,WELCOME,NURDY,LAZY,PLACE,SUB,BAKE,CHARITY,ODOR,PHONE,BURIED,AND,SING,DESERVE,5,6,6,3,5,2,65,Male,"$15,000 to $19,999",2-year college degree,Black,Democrat,Slightly       liberal,Slightly       liberal
R_w4uUgngkEYL9ZxT,6/20/17 10:33,6/20/17 10:49,security,social security for all,5,laziness in citizen,are they contributing to society,taking advantage of this program,it does help people who have difficult getting a job,peopel with certain disabilities be able to do well in this program,2,1,2,1,1,homesick,welfare,nerdy,lazy,place,Sun,bake,charter,door,PHOTO,BURIED,AND,SING,DESERVE,5,6,6,6,6,2,27,Male,"$35,000 to $39,999",2-year college degree,Asian,Democrat,In the middle,In the middle
R_30tWzo3OAvA8BQN,6/20/17 10:31,6/20/17 10:49,control,basic income,6,This will help more people meet their basic needs,The economy will benefit as more money will be in the hands of people that are more likely to spend it instead of saving it away,"Depending on how it's implemented, this could be detrimental to senior citizens on fixed incomes as they may end up receiving less than they do now",,,1,1,2,,,HOMELESS,WELCOME,NERDY,ITZY,PLAYS,SUN,BAKE,CHARIOT,POOR,PHOTO,BURNER,AND,SING,DESERVE,7,2,1,7,5,2,36,Male,"$85,000 to $99,999",4-year college degree,White,Other,Strongly liberal,Moderately liberal
R_3JJ0Jmd0ceW2V4a,6/20/17 10:31,6/20/17 10:49,security,social security for all,7,Help for the poor,Faith that the system is there for us,Hope,A really good resource for us,Shpuld only be for the ones who absolutely need it,1,1,1,1,1,Homeless,Welcome,Needy,Cozy,Plays,Sue,Bake,Charity,Poor,PHOTO,BURDEN,ADD,SONG,OBSERVE,6,5,5,7,7,2,33,Male,"$20,000 to $24,999",Less than a high school degree,White,Republican,Moderately liberal,Strongly conservative
R_337IagxyyMK7xwh,6/20/17 10:33,6/20/17 10:50,freedom,financial freedom,1,is this serious?,what purpose does this serve?,we inch closer and closer to true socialism.,so the rich would get additional money? really?,more government inefficiency.,2,2,2,2,2,HOMETOWN,WELCOME,NEEDY,LAZY,PLACE,SUN,BIKE,CHARITY,POOR,PHONE,BURDEN,AID,SONG,DESERVE,3,6,7,3,7,2,61,Male,"$60,000 to $74,999",4-year college degree,White,Republican,Moderately conservative,Moderately conservative
R_24ixBJ3Yc8ZUUiE,6/20/17 10:35,6/20/17 10:50,security,social security for all,7,I did not realize Alaska had something like this.,This is a very progressive policy.,I like a basic income for all.,This would not go over well with Republicans.,I wonder how we would fund this.,1,1,1,2,2,HOMELESS,WELCOME,NEEDY,LAZY,PLAYS,SUE,BAKE,CHARTER,DOOR,PHONE,BURDEN,ADD,SING,RESERVE,6,2,2,6,5,2,29,Female,"$60,000 to $74,999",4-year college degree,White,Democrat,Strongly liberal,Moderately liberal
R_272UzuewNhAU2nW,6/20/17 10:29,6/20/17 10:50,security,social security for all,2,"it increases the likelihood of ""cheating"" by those wanting a ""free ride"" ",it increases the liklihood of budget busting expenditures,it increases the liklihood of the best and brightest fleeing the country because of increased tax burdens,"it increases the lilihood of encouraging promulgation of an increasing set of unemployables, further exacerbating the country's economic downtirn",,2,2,2,2,,HOMELESS,WELCOME,NERDY,COZY,PLANT,SUN,BAKE,CHARTER,DOOR,PHOTO,BURNED,ADD,SING,RESERVE,4,5,5,4,7,2,62,Male,"$50,000 to $59,999",Masters level degree (for example M.S. or M.A.),White,Independent,Moderately conservative,Slightly       liberal
R_1mxVX7kNR9EhstR,6/20/17 10:34,6/20/17 10:50,security,social security for all,6,Protects citizens from sudden loss,Provides basic need for all citizens,May increase taxes,May increase price of oil,Would make the country more stable,1,1,2,2,1,HOMEPLAC,WELCOME,NEEDY,LAZY,PLAYS,SUT,BIKE,CHARITY,POOR,PHOTO,BURIED,AND,SING,DESERVE,6,2,2,3,3,2,41,Female,"$125,000 to $149,999",4-year college degree,White,Democrat,Slightly       liberal,Slightly       liberal
R_7Q9M6gz1HnpC4uZ,6/20/17 10:31,6/20/17 10:50,freedom,financial freedom,7,it gives people freedom to do what they want with tax revenue,It would make people much happier to make these decisions themselves,It would really benefit society in a positive way,"most people do not approve of how this money is used, and that would change this",It would help people in need regardless of if they're employed or not,1,1,1,1,1,HOMELAND,WELCOME,NERDY,COZY,PLACE,SUN,BIKE,CHARTER,POOR,PHOTO,BURNED,AND,SING,DESERVE,7,1,1,7,1,2,41,Male,"$40,000 to $49,999",High school degree,White,Democrat,Strongly liberal,Strongly liberal
R_2BrDOZNOSn6FgwM,6/20/17 10:36,6/20/17 10:50,control,basic income,6,giving everyone a chance in life,leveling the income playing field,those motivated for more can do so,we need to figure out how to fund this,silence critics of welfare,1,1,1,2,1,homeless,welcome,needy,lazy,place,sun,bake,charmed,poor,photo,burger,aid,sing,deserve,4,4,2,7,4,2,26,Male,"Less than $5,000",4-year college degree,Asian,Independent,Moderately liberal,In the middle
R_1riQscyZPyXrgoW,6/20/17 10:33,6/20/17 10:50,control,basic income,7,It could become a crutch for people to lean on,It will provide a way for people to live a fulfilling life,It will lessen depression both mentally and in the fiscal sense,American children form low income families will benefit largely,It will benefit more people than it would harm,2,1,1,1,1,HOMELAND,WELLING,NODDY,COZY,PLATE,SUN,BAKE,CHARRED,FOUR,PHONE,BURIED,AND,SING,OBSERVE,7,1,3,7,5,2,35,Female,"$12,500 to $14,999",Some college (no degree),White,Independent,In the middle,In the middle
R_2s0HnmuXwcuUVo4,6/20/17 10:37,6/20/17 10:50,security,social security for all,6,No complaints,Same amount for all,Easy system,Some would ask for more,Already used in other states,1,1,1,2,1,HOMEWARE,WELCOME,NEEDY,LAZY,PLACE,SUE,BAKE,CHARTER,POOR,PHOTO,BURGER,ADD,SING,DESERVE,6,5,5,5,3,2,23,Female,"$100,000 to $124,999",Some college (no degree),Other,Democrat,Strongly liberal,Strongly liberal
R_12beismBM29j9zq,6/20/17 10:32,6/20/17 10:50,security,social security for all,6,Provides a safety net ,Ensures a healthier population ,Better for the economy if people are healthy ,More productivity ,Higher quality of life ,1,1,1,1,1,Homestea,Welding,Needy,Lazy,Place,Sun,Back,Charlie,Door,Phone,Buried,And,Song,Deserve,5,6,6,7,4,2,24,Male,"$25,000 to $29,999",4-year college degree,White,Independent,In the middle,In the middle
R_e8ltp2nmW8nxcKl,6/20/17 10:29,6/20/17 10:50,security,social security for all,6,It provides security for people.,Fairness for the workers being shut out by rich corporations.,"Combines welfare, unemployment payments, and the like into one service.",Helps the people who need help.,Take care of all the people.,1,1,1,1,1,HOMELESS,WELFARE,NEEDY,LAZY,PLACE,SUN,BIKE,CHARTER,DOOR,PHOTO,BURNED,AID,SING,DESERVE,6,2,2,6,5,2,68,Male,"$30,000 to $34,999",Some college (no degree),White,Independent,Moderately liberal,Moderately liberal
R_1KxLaO0d18lz8VH,6/20/17 10:31,6/20/17 10:50,freedom,financial freedom,7,Will raise poor people out of poverty,Promotes freedom of choice for individuals to choose how money should be spent on their behalf,Does not punish unemployed people who cannot find work,Is a guaranteed safety net so all people can meet basic needs,Efficient use of resources that come from taxes,1,1,1,1,1,homeless,welfare,needy,cozy,plans,sun,Bake,charity,poor,phone,burger,and,song,reserve,7,5,1,7,3,2,54,Female,"$15,000 to $19,999",4-year college degree,White,Democrat,Strongly liberal,Strongly liberal
R_1kYSDdDO26uWhbO,6/20/17 10:31,6/20/17 10:50,freedom,financial freedom,6,People's basic needs met.,People are able to pursue careers they are passionate about.,People are able to make choices based on what they want and need.,,,1,1,1,,,HOMESICK,WELCOME,NEEDY,LAZY,PLACE,SUP,BAKE,CHARTER,POOR,PHOTO,BURGER,ADD,SING,DESERVE,7,1,1,7,6,2,38,Female,"$7,500 to $9,999","Doctorate level degree (for example PhD, MD, JDS)",White,Independent,Moderately liberal,In the middle
R_22nyBhIaivrvtiz,6/20/17 10:30,6/20/17 10:50,freedom,financial freedom,6,freedom to live on your own,earn money on your own,be your own boss,not been told what to do,pursue of happiness,1,1,1,1,1,hometown,wellnes,nerdy,lazy,plate,sup,bake,charity,door,photo,burrow,add,sing,reserve,5,5,2,6,2,2,56,Female,"$50,000 to $59,999",4-year college degree,Black,Independent,Moderately conservative,Slightly       liberal
R_1NyOg1RF7kEIg76,6/20/17 10:31,6/20/17 10:50,control,basic income,3,Basic income that supplement working American would encourage them to keep working,Giving money to those who do not work encourages them not to work,If the policy gives tax breaks to US workers then it would be a positive aspect,Work force would diminish if money was given to non workers,People must work to keep a functioning society,1,2,1,2,1,homeland,welcome,needy,cozy,place,sun,bake,charity,door,PHONE,BURLAP,AND,SING,RESERVE,2,6,7,6,6,2,51,Female,"$30,000 to $34,999",4-year college degree,Other,Democrat,In the middle,In the middle
R_1EXJLCpxEYToRi0,6/20/17 10:35,6/20/17 10:50,freedom,financial freedom,7,We can reduce waste,We can streamline this as one benefit,We can dispense with the idea that some people are more deserving than others,People who need help will receive it,,1,1,1,1,,homested,welfare,needy,lazy,place,sun,bake,chariot,poor,phone,burden,aid,sing,reserve,7,4,2,6,4,2,27,Male,"$60,000 to $74,999",2-year college degree,White,Independent,Moderately liberal,Strongly liberal
R_Qc3ZngcwH7yFkWZ,6/20/17 10:29,6/20/17 10:50,freedom,financial freedom,5,will shrink the size of government. ,It is cheaper to do,,,,1,1,,,,homeless,welcome,needy,lazy,plaza,sun,bake,charter,poor,photo,burger,and,song,reserve,7,1,1,7,1,2,35,Male,"$125,000 to $149,999",High school degree,Black,Republican,Strongly conservative,Strongly conservative
R_1nTrldAjjQ2ah2A,6/20/17 10:38,6/20/17 10:51,freedom,financial freedom,2,It gives people less incentive to better themselves,It is burdensome to taxpayers,It gives people that normally would not have income a source of income.,It gives people that do not need extra income money that could be used elsewhere.,There is no regulation on what the income is to be used for.,2,2,1,2,2,HOMEWORK,WELCOME,NEEDY,LAZY,PLACE,SUN,BAKE,CHARADE,DOOR,PHONE,BURDEN,ADD,SONG,RESERVE,2,7,7,5,7,2,41,Male,"$40,000 to $49,999",High school degree,White,Independent,Slightly       liberal,In the middle
R_2sb6ICAWNT3XjHv,6/20/17 10:29,6/20/17 10:51,control,basic income,6,Basic needs met,Use money saved to invest or pay off debts,Can see less homelessness,Less excuses in this country,,1,1,1,1,,HOMELESS,WELCOME,NEEDY,LAZY,PLACE,SUN,BAKE,CHARITY,POOR,PHONE,BURDEN,AND,SING,DESERVE,5,6,4,6,3,2,24,Male,"$25,000 to $29,999",4-year college degree,White,Republican,In the middle,Slightly conservative
R_2CwaYOm7zMZVUPb,6/20/17 10:39,6/20/17 10:51,security,social security for all,2,costly,could help people in need,could help hardworking people who aren't paid enough,,,2,1,1,,,,wellnes,needy,lazy,place,sun,bike,charity,poor,phone,burrit,aid,sing,conserv,3,6,5,3,5,2,32,Female,"$50,000 to $59,999",2-year college degree,Other,Independent,In the middle,In the middle
R_2Ucqoabb25mItuX,6/20/17 10:31,6/20/17 10:51,freedom,financial freedom,6,I want my financial freedom left alone!,The government should be worried about other things.,If we don't have our financial freedom then we are working for nothing.,"We work hard for our financial freedom, if anything it should be given more options.",Our financial freedom is good and should be left alone. ,1,1,1,1,1,Homeless,Welcome,Needy,Lazy,Place,Sun,Bake,Charter,Door,PHONE,BURIED,AID,SING,DESERVE,4,6,3,4,5,5,37,Male,"$100,000 to $124,999",Masters level degree (for example M.S. or M.A.),White,Independent,In the middle,In the middle
R_3NVywGYL0n4yiTr,6/20/17 10:32,6/20/17 10:51,control,basic income,4,forced payments are wrong,population grows but jobs don't,wealth becomes more and more concentrated,automation takes many jobs,,2,1,1,1,,HOMESICK,WELCOME,NEEDY,COZY,PLANS,SUN,BAKE,CHARITY,DOOR,PHOTO,BURNER,AND,SING,DESERVE,6,2,2,7,3,2,28,Male,"$35,000 to $39,999",Some college (no degree),White,Other,Strongly liberal,Strongly conservative
R_2QJyU0Ic1kCrdKU,6/20/17 10:30,6/20/17 10:51,security,social security for all,3,There would be no sense of responsibility.,The value of hard work would lose its meaning.,Making it easy for everyone would do nothing to prevent crime.,,,2,2,2,,,HOMEBODY,WELCOME,NEEDY,LAZY,PLACE,SUE,BIKE,CHARIOT,DOOR,PHONE,BURIED,ADD,SONG,DESERVE,2,6,7,4,6,2,45,Male,"$20,000 to $24,999",2-year college degree,White,Republican,Slightly conservative,Moderately conservative
R_cSx4d4HPRxFtJT3,6/20/17 10:30,6/20/17 10:51,security,social security for all,6,It can help the poor,Likely decrease amount of cheating/corruption associated with government aid,Possible decrease of the value of the dollar which could lead to inflation,"Although the families in need are receiving money, they might not actually get enough to support themselves due to the possible inflation",Unsure of what will happen to those who are not citizens,1,1,2,2,2,HOMELESS,WELCOME,NEEDY,HAZY,PLATE,SUN,BAKE,CHARRED,POOR,PHOTO,BURNED,AID,SONG,RESERVE,6,2,2,5,7,2,22,Female,"$7,500 to $9,999",2-year college degree,Other,Independent,Moderately liberal,Slightly       liberal
R_3MnbcFS47bp2jjG,6/20/17 10:42,6/20/17 10:51,security,social security for all,5,reduce poverty,better than tax breaks for those that dont need it,share our resources,,,1,1,1,,,HOMETOWN,WELCOME,NERDY,LAZY,PLANE,SUE,BIKE,CHARLEY,DOOR,PHOTO,BURNED,AID,SONG,RESERVE,6,3,1,7,2,2,34,Male,"$100,000 to $124,999",4-year college degree,Hispanic,Independent,Moderately liberal,Moderately liberal
R_3dQ8iSv50M5DY5q,6/20/17 10:33,6/20/17 10:51,freedom,financial freedom,6,freedom to make your own decisions.,a gaurantee of  fixed income to cover your basic needs.,"yet, may very well undermine the need to work hard.",would promote lazy work culture.,"we dont need  more problems, people should know that a good euctasion would solve all economic problems.",1,1,2,2,2,HOMELESS,WELCOME,NEEDY,LAZY,PLACE,SUE,BAKE,CHARITY,YOUR,PHOTO,BURGER,AID,SONG,DESERVE,4,6,7,5,4,2,53,Female,"$60,000 to $74,999",Masters level degree (for example M.S. or M.A.),Asian,Independent,Slightly       liberal,Slightly conservative
R_24GxtSlulVMZ6k2,6/20/17 10:38,6/20/17 10:51,control,basic income,4,blah,blah,blah, ,,1,1,1,1,,blah    ,blah   ,blah ,blah,blah ,bla,blah,blah   ,blah,blah ,blah b,bla,blah,blah bl,4,4,4,4,4,2,25,Male,"$15,000 to $19,999",High school degree,White,Independent,In the middle,In the middle
R_1Hk8umiA8D8mdkK,6/20/17 10:38,6/20/17 10:51,freedom,financial freedom,4,meow ,meow ,meow ,,,2,2,2,,,meow meo,meow me,meow ,meow,meow ,meo,meow,meow me,meow,meow ,meow m,meo,meow,meow me,4,4,4,4,4,2,36,Male,"$15,000 to $19,999",Some college (no degree),White,Republican,Moderately conservative,Moderately conservative
